Reference, Value, Footprint, Datasheet
R8,22,Resistors_SMD:R_0603,
R9,22,Resistors_SMD:R_0603,
R10,22,Resistors_SMD:R_0603,
D1,LED,LEDs:LED-5MM,
D2,LED,LEDs:LED-5MM,
D3,LED,LEDs:LED-5MM,
R2,10k,Resistors_SMD:R_0603,
R3,10k,Resistors_SMD:R_0603,
R6,10k,Resistors_SMD:R_0603,
R1,10k,Resistors_SMD:R_0603,
P2,GPIO_USER,Socket_Strips:Socket_Strip_Straight_1x02,
P1,ZX62R-B-5P,OriginalLibConn:USB_MICRO_HRS_ZX62R-B-5P,
C1,22u,Capacitors_SMD:C_1206,
C2,22u,Capacitors_SMD:C_1206,
U2,ESP-13-WROOM-02,ESP-WROOM-02:ESP-13-WROOM-02,
R5,10k,Resistors_SMD:R_0603,
Q1,Q_NMOS,TO_SOT_Packages_SMD:SOT-23,
U1,NJM2845,TO-252-3:TO-252-3,
C4,0.1u,Capacitors_SMD:C_0603,
R4,10k,Resistors_SMD:R_0603,
R7,10k,Resistors_SMD:R_0603,
SW1,SKRPACE010,OriginalLibSw:SKRPACE010,
SW2,SKRPACE010,OriginalLibSw:SKRPACE010,
P3,WRITE_PROG,Socket_Strips:Socket_Strip_Straight_1x03,
U3,IRSNS_GP1UXC41QS,Socket_Strips:Socket_Strip_Straight_1x03,
C3,0.22u,Capacitors_SMD:C_0603,
